Price,Close,High,Low,Open,Volume,RSI_14,MA_9,MA_21,MA_51,MACD,MACD_Signal,MACD_Hist
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,,,,,,
Date,,,,,,,,,,,,
2015-03-17,252.3381805419922,253.14038053295485,249.12935337662282,253.0512411558437,11350496,36.201556542410806,255.85399373372397,262.718020484561,269.52702750411686,-4.815066013458306,-3.9042499378838253,-0.910816075574481
2015-03-18,256.081787109375,257.10684913403736,251.3576993845285,253.2295174798234,12394230,41.935515179749984,255.2052985297309,261.8839837937128,269.06038620892696,-4.53503002791814,-4.030405955890688,-0.5046240720274513
2015-03-19,251.00112915039062,258.7557640236503,250.10978993267014,258.48837313893983,11046649,42.30771308618665,253.99703979492188,260.8186195010231,268.4722765754251,-4.669242012865027,-4.158173167285556,-0.5110688455794712
2015-03-20,248.01513671875,251.71418902285978,246.72268397563872,251.17938005324427,11482652,25.143594121957122,252.7689683702257,259.6535077776228,267.869312061983,-4.959381944189431,-4.3184149226663315,-0.6409670215230996
2015-03-23,244.89549255371094,249.57502425855893,243.82587442628096,249.04021519484394,13058026,19.68863788787445,251.49633280436197,258.4820316859654,267.42975990445007,-5.379042884242324,-4.53054051498153,-0.8485023692607943
2015-03-24,241.15184020996094,246.36618063041524,239.770275155656,244.04869297671144,17585259,16.99284250225753,250.05038113064236,257.13441249302457,266.91243339987363,-5.945176367440496,-4.813467685473323,-1.1317086819671731
2015-03-25,236.56146240234375,242.53344703783347,236.2049320960874,242.35516828394591,15824629,18.353803675140426,247.92602369520398,255.812257312593,266.22295574113434,-6.687160928759653,-5.188206334130589,-1.4989545946290637
2015-03-26,228.76223754882812,237.0071264934978,227.4697982181939,235.75925685028383,22253318,15.377519417937322,245.53922017415366,254.1314464750744,265.4093894210516,-7.814441289290016,-5.713453325162475,-2.1009879641275413
2015-03-27,234.95704650878906,236.1603600122277,228.18286234268714,231.6145241111911,19423101,26.45782683047983,243.7515903049045,252.7753375825428,264.64912863338697,-8.11441189644043,-6.193645039418066,-1.9207668570223637
2015-03-30,238.789794921875,240.08224779772314,234.55593321332574,236.29405574270538,12303870,33.219761350101905,242.24621412489148,251.86277625674293,263.9989749684053,-7.95121336029851,-6.545158703594155,-1.406054656704355
2015-03-31,238.0321807861328,241.86495660589162,237.0962852774877,239.68116415035925,19482636,34.150644778022055,240.2407023111979,250.46846807570685,263.34095704321766,-7.793175596539413,-6.794762082183207,-0.9984135143562058
2015-04-01,243.73675537109375,244.80634626681692,234.55594377407385,237.67563148925652,12383589,39.15860742778679,239.43354966905383,249.25667172386534,262.5221482819202,-7.125479938992953,-6.8609056535451565,-0.2645742854477966
2015-04-06,244.80630493164062,245.78678348830647,241.73120102395526,245.51939260990378,12925445,44.639719598050426,239.07701280381946,248.0703386579241,261.8090757482192,-6.4358343171224135,-6.775891386260609,0.34005706913819544
2015-04-07,242.48886108398438,246.32163663830013,240.92901720992433,245.38571399295304,12933524,41.80885746837662,238.80960930718317,247.1450442359561,261.09076197007124,-6.007038147468506,-6.622120738502189,0.6150825910336826
2015-04-08,244.13783264160156,247.21296415522255,242.31059792867828,242.35515401376728,9913899,42.20334232419082,239.1413862440321,246.30039542061942,260.3173947801777,-5.471088566676542,-6.39191430413706,0.9208257374605182
2015-04-09,250.33265686035156,251.17941290493513,242.88996799702005,245.11831632726793,13471276,44.77732432112494,240.67151896158853,245.88443719773065,259.5248015160654,-4.494662449555449,-6.012463933220738,1.5178014836652896
2015-04-10,254.7001953125,256.1263435786999,249.6195506146365,250.46633379811897,16880558,53.4044476251358,243.5535142686632,245.805912562779,258.8449356976677,-3.330027382129032,-5.475976623002397,2.1459492408733656
2015-04-13,255.19039916992188,257.1513562681701,252.56096488080874,256.5274079546784,11985436,56.92176301987042,245.8016645643446,245.85472179594495,258.1257458855124,-2.3405103989991574,-4.84888337820175,2.5083729792025924
2015-04-15,258.4883728027344,262.4548431970372,254.87845985626737,256.17088539937254,17289500,63.067688231902935,247.99039543999567,245.98842148553757,257.42578214757583,-1.275489106476499,-4.1342045238567,2.8587154173802007
2015-04-16,260.6275634765625,262.2765463535825,255.3686679024686,258.7111897336527,15043998,69.31922036602293,250.50099351671008,246.48290216355096,256.6882422952091,-0.255887537425707,-3.3585411265705014,3.1026535891447944
